entityId|creationTm|_epk|teamFede|golFede|teamBomber|golBomber|matchCounter
501|2020-01-06T01:35:12.295|1|Liverpool|3|Atletico Madrid|1|1
502|2020-01-06T01:35:31.369|2|Bayern Monaco|3|Barcelona|4|2
503|2020-01-06T01:35:49.265|3|Man City|4|PSG|2|3
