entityId|creationTm|_epk|carModel
73|2019-05-18T12:30:08.546|Ford Fiesta RS|Ford Fiesta RS
74|2019-05-18T12:30:08.548|Hyundai i20|Hyundai i20
75|2019-05-18T12:30:08.548|Citroen DS 3|Citroen DS 3
76|2019-05-18T12:30:08.548|Volkswagen Polo R|Volkswagen Polo R
77|2019-05-18T12:30:08.548|MINI John Cooper Works|MINI John Cooper Works
