entityId|creationTm|_epk|finished|rallyList|seasonCounter
15|2019-05-10T23:25:06.665|1|true||1
151|2019-05-25T01:34:57.233|2|true||2
211|2019-06-07T21:47:48.1|3|true||3
276|2019-06-09T22:22:25.343|4|true||4
342|2019-06-21T22:08:01.615|5|true||5
420|2019-12-29T20:15:50.713|6|false||6
