entityId|creationTm|_epk|nation|stage|winner|carFede|carBomber|weather|time|seasonID|rallyID|stageProgrInRally
62|2019-05-18T00:46:12.18|15-58-3|[5,Portugal]|[101,Portugal-3]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|58|3
63|2019-05-18T00:46:12.18|15-58-4|[5,Portugal]|[102,Portugal-4]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|58|4
65|2019-05-18T01:01:14.604|15-64-0|[7,Poland]|[108,Poland-0]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|64|0
66|2019-05-18T01:01:14.605|15-64-1|[7,Poland]|[109,Poland-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|64|1
67|2019-05-18T01:01:14.605|15-64-2|[7,Poland]|[110,Poland-2]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|64|2
69|2019-05-18T01:26:26.642|15-68-0|[8,Finland]|[113,Finland-0]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|68|0
70|2019-05-18T01:26:26.642|15-68-1|[8,Finland]|[114,Finland-1]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|68|1
71|2019-05-18T01:26:26.643|15-68-2|[8,Finland]|[115,Finland-2]|BOMBER|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|68|2
72|2019-05-18T01:26:26.643|15-68-3|[8,Finland]|[116,Finland-3]|FEDE|@_NUL_@|@_NUL_@|CLEAR_SKY|DAWN|15|68|3
147|2019-05-25T01:32:20.455|15-146-0|[4,Argentina]|[93,Argentina-0]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|15|146|0
148|2019-05-25T01:32:20.457|15-146-1|[4,Argentina]|[94,Argentina-1]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|15|146|1
149|2019-05-25T01:32:20.458|15-146-2|[4,Argentina]|[95,Argentina-2]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|15|146|2
150|2019-05-25T01:32:20.461|15-146-3|[4,Argentina]|[96,Argentina-3]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|15|146|3
153|2019-05-25T02:11:45.784|151-152-0|[1,Monaco]|[78,Monaco-0]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|152|0
154|2019-05-25T02:11:45.785|151-152-1|[1,Monaco]|[79,Monaco-1]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|152|1
155|2019-05-25T02:11:45.785|151-152-2|[1,Monaco]|[80,Monaco-2]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|152|2
156|2019-05-25T02:11:45.786|151-152-3|[1,Monaco]|[81,Monaco-3]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|152|3
157|2019-05-25T02:11:45.787|151-152-4|[1,Monaco]|[82,Monaco-4]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|152|4
159|2019-05-25T02:54:25.256|151-158-0|[9,Germany]|[118,Germany-0]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|158|0
160|2019-05-25T02:54:25.258|151-158-1|[9,Germany]|[119,Germany-1]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|158|1
161|2019-05-25T02:54:25.258|151-158-2|[9,Germany]|[120,Germany-2]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|158|2
162|2019-05-25T02:54:25.258|151-158-3|[9,Germany]|[121,Germany-3]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|158|3
163|2019-05-25T02:54:25.258|151-158-4|[9,Germany]|[122,Germany-4]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|158|4
166|2019-05-26T01:27:56.887|151-165-0|[13,United Kingdom]|[135,United Kingdom-0]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|165|0
167|2019-05-26T01:27:56.889|151-165-1|[13,United Kingdom]|[136,United Kingdom-1]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|165|1
168|2019-05-26T01:27:56.89|151-165-2|[13,United Kingdom]|[137,United Kingdom-2]|BOMBER|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|151|165|2
170|2019-05-26T02:47:12.244|151-169-0|[10,China]|[123,China-0]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|169|0
171|2019-05-26T02:47:12.245|151-169-1|[10,China]|[124,China-1]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|169|1
172|2019-05-26T02:47:12.246|151-169-2|[10,China]|[125,China-2]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|169|2
173|2019-05-26T02:47:12.247|151-169-3|[10,China]|[123,China-0]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|169|3
174|2019-05-26T02:47:12.248|151-169-4|[10,China]|[124,China-1]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|169|4
176|2019-05-26T03:21:49.128|151-175-0|[11,France]|[126,France-0]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|175|0
177|2019-05-26T03:21:49.129|151-175-1|[11,France]|[127,France-1]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|175|1
178|2019-05-26T03:21:49.13|151-175-2|[11,France]|[128,France-2]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|175|2
179|2019-05-26T03:21:49.131|151-175-3|[11,France]|[129,France-3]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|175|3
180|2019-05-26T03:21:49.132|151-175-4|[11,France]|[126,France-0]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|151|175|4
182|2019-06-01T00:01:06.725|151-181-0|[14,Australia]|[140,Australia-0]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|181|0
183|2019-06-01T00:01:06.73|151-181-1|[14,Australia]|[141,Australia-1]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|181|1
184|2019-06-01T00:01:06.732|151-181-2|[14,Australia]|[142,Australia-2]|BOMBER|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|151|181|2
